epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,271.306,1.57092,0.69439,1.16283,0.9522,0.82143,0.90735,0.38625,2.26534,1.11626,1.37861,0.0005942,0.0005942,0.0005942
73,274.666,1.56281,0.67747,1.18894,0.97467,0.83929,0.92712,0.38409,2.35419,1.1645,1.37805,0.0005744,0.0005744,0.0005744
74,278.224,1.64416,0.74463,1.22005,0.99492,0.83929,0.92717,0.39249,2.26234,0.97968,1.35567,0.0005546,0.0005546,0.0005546
75,281.624,1.59312,0.71595,1.19054,0.99595,0.83929,0.93767,0.39483,2.27416,0.99582,1.34367,0.0005348,0.0005348,0.0005348
76,285.083,1.61292,0.70532,1.20552,0.96445,0.875,0.9346,0.40279,2.29305,0.95151,1.35051,0.000515,0.000515,0.000515
77,288.531,1.57621,0.689,1.1506,0.89826,0.92857,0.9138,0.38836,2.22666,0.91797,1.34913,0.0004952,0.0004952,0.0004952
78,291.933,1.60167,0.71601,1.19377,0.99301,0.83929,0.92772,0.3815,2.1606,0.98827,1.33492,0.0004754,0.0004754,0.0004754
79,295.364,1.57695,0.67734,1.1834,0.96852,0.82143,0.92731,0.37888,2.26097,1.05105,1.36304,0.0004556,0.0004556,0.0004556
80,298.853,1.60389,0.68242,1.16783,0.90899,0.89179,0.93022,0.39913,2.22673,1.07341,1.33862,0.0004358,0.0004358,0.0004358
81,302.221,1.53595,0.68904,1.13209,0.95381,0.82143,0.93149,0.40259,2.19903,1.08747,1.32543,0.000416,0.000416,0.000416
82,305.752,1.61161,0.67742,1.183,0.9742,0.83929,0.95562,0.41516,2.17572,1.06698,1.32574,0.0003962,0.0003962,0.0003962
83,309.168,1.56031,0.68385,1.16652,0.9961,0.83929,0.95684,0.41513,2.15751,0.97255,1.32409,0.0003764,0.0003764,0.0003764
84,312.74,1.56199,0.71347,1.15999,0.95606,0.80357,0.90852,0.37863,2.27827,1.01863,1.35339,0.0003566,0.0003566,0.0003566
85,316.223,1.52751,0.678,1.14799,0.97344,0.82143,0.92117,0.39466,2.23191,1.00446,1.339,0.0003368,0.0003368,0.0003368
86,319.769,1.53821,0.67356,1.176,0.97436,0.83929,0.95311,0.41768,2.20803,1.11331,1.33835,0.000317,0.000317,0.000317
87,323.147,1.48397,0.65106,1.15122,0.92854,0.92818,0.96035,0.41485,2.20213,1.13084,1.33954,0.0002972,0.0002972,0.0002972
88,326.458,1.53019,0.67685,1.15809,0.98571,0.83929,0.94602,0.42041,2.11395,1.08525,1.32626,0.0002774,0.0002774,0.0002774
89,329.866,1.54982,0.6808,1.18248,0.94922,0.80357,0.89696,0.39367,2.1263,1.10844,1.33456,0.0002576,0.0002576,0.0002576
90,333.294,1.55377,0.67978,1.15516,0.98715,0.83929,0.95596,0.41922,2.12902,1.02242,1.31971,0.0002378,0.0002378,0.0002378
91,337.928,1.58402,0.68396,1.22997,0.91275,0.93411,0.96326,0.42733,2.14479,0.92094,1.31861,0.000218,0.000218,0.000218
92,341.461,1.56892,0.68698,1.25021,0.95542,0.80357,0.89616,0.40401,2.13524,0.95121,1.3149,0.0001982,0.0001982,0.0001982
93,344.816,1.60473,0.66366,1.23527,0.97515,0.82143,0.90212,0.41273,2.14914,0.9291,1.32321,0.0001784,0.0001784,0.0001784
94,348.267,1.58641,0.66455,1.20531,0.9963,0.83929,0.92878,0.40993,2.16818,0.92904,1.32887,0.0001586,0.0001586,0.0001586
95,351.798,1.57621,0.66763,1.24628,0.99646,0.83929,0.93138,0.39927,2.17701,0.93436,1.32889,0.0001388,0.0001388,0.0001388
96,355.183,1.56129,0.6524,1.22012,0.99653,0.83929,0.93078,0.40978,2.17912,0.94659,1.32473,0.000119,0.000119,0.000119
97,358.649,1.53677,0.66231,1.25262,0.99626,0.83929,0.92857,0.39673,2.15331,0.96342,1.32432,9.92e-05,9.92e-05,9.92e-05
98,362.037,1.58991,0.66171,1.2441,0.9962,0.83929,0.94334,0.40252,2.16607,0.94611,1.32915,7.94e-05,7.94e-05,7.94e-05
99,365.367,1.50994,0.64125,1.23162,1,0.85522,0.96342,0.40844,2.18066,0.94153,1.32921,5.96e-05,5.96e-05,5.96e-05
100,368.638,1.60283,0.68567,1.21373,1,0.85468,0.96313,0.41844,2.17746,0.95784,1.32667,3.98e-05,3.98e-05,3.98e-05
